exhaust, 배기가스
external, 외부
promote, 홍보하다
negative, 부정적인
recruit, 모집하다
alphabet, 알파벳
spell, 주문
despite, ~에도 불구하고
performance, 성능
requirement, 요구 사항
environment, 환경
condition, 상태
resource, 의지
material, 재료
limit, 한계
supply, 공급
faculty, 학부
spite, 악의
significance, 중요성
efficiency, 능률
represent, 대표하다
single, 하나의
aspect, 측면
debt, 빚
truly, 진심으로
average, 평균
loan, 대출
tuition, 수업료
insult, 모욕
criticism, 비판
unexpected, 예기치 않은
enthusiasm, 열광
competition, 경쟁
participate, 참가하다
fame, 명성
series, 시리즈
paw, 발
project, 프로젝트
survey, 조사
whereas, 반면
interview, 회견
administration, 관리
option, 옵션
bake, 빵 굽기
patient, 인내심 있는
drink, 마시다
widespread, 펼친
acceptance, 수락
criminal, 범인
regulation, 규제
prohibit, 금지하다
vary, 달라지다
definition, 정의
legislation, 법률 제정
define, 정의하다
substance, 물질
loose, 헐렁한
product, 제품
welfare, 복지
unite, 맞잡다
aid, 지원
comparison, 비교
regard, 관심
universal, 만능인
region, 지역
obtain, 얻다
support, 지원하다
writer, 작가
characteristic, 특성
pulse, 맥박
billion, 10억
variable, 변하기 쉬운
graph, 그래프
select, 선택하다
analyse, 분석하다
click, 딸깍 하는 소리
chief, 셰프
executive, 경영진
balance, 균형
motivate, 동기를 부여하다
diverse, 다양한
staf, 직원
legal, 합법적인
cheerful, 쾌활한
enhance, 향상시키다
concentration, 집중
hence, 따라서
pad, 인주
philosopher, 철학자
describe, 설명하다
rational, 합리적인
emotional, 감정적인
deliberate, 고의의
tune, 곡조
blend, 혼합하다
precise, 정밀한
divide, 나누다
function, 기능
creative, 창의적인
logical, 논리적
tendency, 성향
tend, 추세
crowd, 군중
global, 글로벌
atmosphere, 대기
trend, 경향
concern, 우려
official, 공식적인
greenhouse, 온실
personnel, 인원
target, 목표
attack, 공격
datum, 자료
agency, 대행사
Republican, 공화주의자
pack, 팩
male, 남성
candidate, 후보자
politics, 정치
response, 응답
reduction, 절감
fuel, 연료
replace, 바꾸다
electrical, 전기 같은
efficient, 효율적인
border, 국경
urban, 도시의
span, 기간
illegal, 불법적인
cross, 십자가
crime, 범죄
prevalent, 만연한
interfere, 간섭하다
apply, 적용하다
import, 수입
export, 내보내다
dictate, 명령
unlike, 같지 않은
kingdom, 왕국
possession, 소유
evolve, 진화하다
interpretation, 해석
bear, 곰
machinery, 기계
commonplace, 평범한
skilled, 숙련된
employer, 고용주
bargain, 매매
improvement, 개선
engage, 관계를 맺다
sexual, 성적
racial, 인종
fascinate, 호리다
magnificent, 웅장한
museum, 박물관
collection, 수집
security, 보안
object, 물체
outside, 밖의
locate, 위치하고 있다
climate, 기후
improve, 개선하다
reveal, 드러내다
reform, 개정
rank, 계급
pace, 속도
overtake, 추월하다
accord, 일치
complain, 불평하다
grind, 갈기
conference, 회의
dominate, 빼어나게 솟다
absent, 결석한
genuine, 진실한
claim, 주장하다
structure, 구조
impress, 날인
margin, 여유
apart, 따로
challenge, 도전
complex, 복잡한
impressive, 인상적인
filter, 필터
retain, 유지하다
excess, 과잉
maintain, 유지하다
flood, 홍수
erosion, 부식
save, 구하다
collapse, 무너지다
mobile, 이동하는
commerce, 상업
device, 장치
digital, 디지털
assistant, 어시스턴트
application, 애플리케이션
commercial, 광고
location, 위치
zone, 존
flash, 플래시
prove, 입증하다
item, 목
instruction, 지침
comprehension, 이해력
secure, 안전한
convey, 전달하다
pressure, 압력
quote, 인용하다
integrate, 통합하다
argument, 논쟁
character, 성격
imaginative, 상상력이 풍부한
sympathy, 동정
entertainment, 오락
adapt, 적응하다
classic, 권위 있는
benefit, 혜택
rarely, 드물게
concept, 개념
possibility, 가능성
definitely, 분명히
increasingly, 더욱 더
emerge, 알려지다
relate, 말하다
competitive, 경쟁력 있는
advantage, 이점
furniture, 가구
essential, 필수적인
civilize, 문명화하다
settle, 해결하다
perceive, 감지하다
overall, 전반적인
significant, 중요한
inevitable, 불가피한
outcome, 결과
Parliament, 의회
crown, 왕관
crucial, 중대한
ancient, 고대의
occur, 발생하다
planet, 행성
channel, 채널
contrast, 차이
exploit, 악용하다
technology, 기술
gear, 기어
physical, 물리적
molecule, 분자
bacteria, 박테리아
virus, 바이러스
activity, 활동
culture, 문화
affect, 영향을 미치다
belief, 믿음
network, 회로망
current, 현재의
shift, 옮기다
risk, 위험
cancer, 암
impact, 영향
hunt, 사냥
somewhat, 약간
avoid, 피하다
trail, 자취
whale, 고래
adopt, 입양하다
reproduce, 낳다
communicate, 의사소통하다
threat, 위협
mystery, 신비
glorious, 거룩한
Empire, 제국
ruin, 망치다
marine, 선박
vital, 필수적인
transportation, 운송
cargo, 뱃짐
largely, 크게
pollution, 오염
rub, 장애
myth, 신화
besides, 게다가
detail, 세부 사항
identify, 식별하다
status, 상태
therefore, 그러므로
resemble, 닮다
indication, 표시
owner, 소유자
estimate, 추정
visual, 시각적
highly, 고도로
image, 영상
accurate, 정확한
abundance, 풍부
nearby, 가까운
density, 밀도
agriculture, 농업
publish, 출판하다
initial, 초기의
tissue, 조직
sticky, 어려운
clap, 박수
snap, 스냅
pitch, 정점
courtesy, 예의
burst, 터지다
nest, 둥지
maximum, 최고
author, 작가
curl, 컬
flexible, 유연한
switch, 스위치
link, 링크
formation, 형성
earthquake, 지진
predict, 예측하다
strike, 스트라이크
resident, 거주자
bang, 쾅
profit, 이익
foster, 기르다
perspective, 관점
threaten, 위협하다
currency, 통화
expert, 전문가
basis, 기초
impose, 부과하다
behave, 행동하다
economy, 경제
outer, 밖의
layer, 층
bind, 묶다
magnetic, 자기
magnet, 자석
react, 반응하다
oxygen, 산소
bubble, 거품
tube, 튜브
interval, 간격
timely, 때마침
weekly, 주간
schedule, 일정
normally, 보통
involve, 관련시키다
indoor, 실내
discourage, 낙담시키다
sponsor, 스폰서
vast, 대단한
original, 원래의
audience, 청중
organisation, 조직
implication, 함축
democracy, 민주주의
restrict, 얽매다
appliance, 기구
explosive, 폭발물
site, 대지
correspondent, 거래처
tackle, 태클
topic, 주제
stock, 재고
lean, 기대다
recognise, 인정하다
stroke, 뇌졸중
demonstrate, 입증하다
unique, 고유한
durable, 튼튼한
creature, 생물
attempt, 시도
origin, 기원
trace, 추적하다
scale, 규모
remote, 원격
journey, 여행
disguise, 위장하다
crisis, 위기
suffer, 시달리다
confidence, 신뢰
arise, 생기다
solution, 해결책
execute, 실행하다
refine, 다듬다
disaster, 재해
various, 다양한
incident, 사건
implement, 구현하다
alert, 알리다
Outlook, 시야
campaign, 운동
ribbon, 리본
feature, 특징
colony, 식민지
tradition, 전통
temporary, 일시적인
fund, 축적
account, 계정
ensure, 보장하다
available, 사용 가능
appropriate, 적절한
conflict, 갈등
event, 이벤트
explosion, 폭발
advance, 전진
connect, 연결하다
feather, 깃털
precious, 귀중한
expand, 확장하다
horizon, 수평선
comedy, 코메디
drama, 드라마
hire, 고용하다
salary, 샐러리
senior, 상위
domestic, 국내의
process, 프로세스
intensive, 강한
bankrupt, 파산한
overlook, 간과하다
divorce, 이혼
invention, 발명
household, 가정
charge, 요금
rate, 비율
curiosity, 호기심
think, 생각하다
deposit, 보증금
render, 세우다
expectation, 기대
engineer, 엔지니어
community, 지역 사회
conscious, 의식하는
raw, 날것의
military, 군대
attribute, 기인하다
recommend, 추천하다
presumably, 아마도
muscle, 근
contract, 계약
vehicle, 차량
mention, 언급하다
major, 주요한
universe, 우주
find, 찾다
arrow, 화살
aware, 알고 있는
scrape, 긁다
applause, 박수 갈채
surround, 서라운드
overseas, 해외
well-known, 잘 알려진
theory, 이론
selection, 선택
survival, 활착
individual, 개인
inherit, 상속하다
chemical, 화학적인
acid, 산
ore, 광석
stream, 개울
institution, 기관
display, 표시하다
primarily, 주로
approve, 승인하다
distinct, 별개의
category, 범주
normal, 정상
sailor, 선원
generate, 생성하다
marriage, 결혼
marry, 결혼하다
associate, 연관짓다
reception, 리셉션
teenager, 십대
knot, 매듭
mission, 사명
instead, 대신에
so-called, 소위
professional, 전문적인
rare, 희귀한
nature, 자연
spoil, 약탈
purple, 보라
dye, 먹이다
appetite, 식욕
disease, 질병
joint, 관절
routine, 루틴
precaution, 예방법
absolute, 순수한
senate, 상원
council, 이사회
respect, 존경
retire, 은퇴하다
loyalty, 충의
opportunity, 기회
employee, 직원
profitable, 유리한
beneficial, 유익한
moreover, 게다가
effective, 효과적인
experimental, 실험적인
strain, 부담
resistant, 저항하는
productive, 생기게 하는
consume, 소비하다
beyond, 그 너머에
assembly, 집회
exclude, 들어오지 못하게 하다
academic, 학생
anxiety, 불안
primary, 주요한
acute, 심각한
injury, 부상
perform, 공연하다
intensity, 강함
crack, 금이 가다
growth, 성장
merely, 그저
pollute, 오염시키다
capture, 포착
contribute, 기여하다
harm, 피해
consideration, 고려 사항
endure, 견디다
decrease, 감소하다
ratio, 비율
sophisticate, 정교하다
scheme, 계획
corporate, 기업
reward, 보상
per, 당
carbon, 탄소
respond, 대답하다
politician, 정치가
pretend, ~인 척하다
action, 행동
compare, 비교하다
humanity, 인류
dispute, 논쟁
mass, 대량의
adult, 성인
range, 범위
stress, 스트레스
cycle, 주기
compound, 화합물
tremendous, 엄청난
satellite, 위성
orbit, 궤도
partner, 파트너
era, 연대
territory, 지역
colleague, 동료
leader, 지도자
invade, 침략하다
motion, 운동
protein, 단백질
stimulate, 자극하다
bunch, 다발
comparative, 비교의
laboratory, 실혐실
sequence, 순서
gene, 유전자
constant, 끊임없는
symptom, 징후
violence, 폭행
expose, 폭로하다
sensitive, 예민한
fearful, 두려워
aggressive, 공격적인
manner, 방법
remarkable, 놀랄 만한
undoubtedly, 의심할 여지 없이
considerable, 많은
youngster, 어린이
plus, ...을 더한
minus, 마이너스
compose, 구성하다
organ, 오르간
organism, 유기체
fundamental, 근본적인
regulate, 규제하다
transport, 수송
component, 요소
barrier, 장벽
insect, 곤충
withstand, 버티다
sunlight, 햇빛
plentiful, 풍부한
exclusive, 독점적인
convert, 전환하다
digest, 요람
gallon, 갤런
artistic, 예술적
background, 배경
pension, 연금
sufficient, 충분한
sunshine, 햇빛
cast, 깁스
primitive, 원어
elsewhere, 다른 곳에서
alter, 바꾸다
childhood, 어린 시절
infant, 유아
decade, 10년
historical, 역사적인
circumstance, 상황
famine, 기근
consequence, 결과
reverse, 뒤집다
failure, 실패
amateur, 아마추어
injure, 해치다
mechanism, 기구
recovery, 회복
compete, 경쟁하다
adjust, 조정하다
consumer, 소비자
evaluate, 평가하다
platform, 플랫폼
encourage, 장려하다
elderly, 연세가 드신
stability, 안정
amongst, 사이에
assistance, 보조
saddle, 안장
nuclear, 핵무기
weapon, 무기
volume, 용량
liquid, 액체
transform, 변환
crust, 빵 껍질
harsh, 가혹한
shed, 창고
revenue, 수익
invest, 투자하다
multiple, 다수의
scholarship, 장학금
athlete, 운동 선수
commit, 저지르다
virtual, 가상
document, 문서
intend, 의도하다
suppose, 가정하다
ignore, 무시하다
triumph, 승리
prejudice, 편견
entire, 전체
unusual, 특이한
calendar, 달력
verify, 확인하다
declaration, 선언
trial, 재판
resolution, 해결
Congress, 대회
meantime, 그 동안에
sigh, 한숨을 쉬다
relief, 안도
crew, 승무원
emergency, 비상
ease, 쉬움
overnight, 밤새
approval, 승인
favour, 호의
extension, 확대
trap, 덫
comparable, 유사한
idle, 게으른
patch, 반점
centre, 센터
distress, 고통
dissolve, 디졸브
identity, 신원
immediately, 즉시
pit, 피트
sample, 견본
bet, 내기
herd, 떼
ugly, 못생긴
fragment, 파편
foundation, 기반
stake, 말뚝
acknowledge, 인정하다
secondary, 반성
mental, 정신적인
combat, 전투
interact, 상호작용하다
vision, 비전
assignment, 과제
elementary, 초등학교
property, 재산
maintenance, 유지
interior, 내부
exterior, 외부
leak, 새다
oven, 오븐
landlord, 주인
compress, 압박 붕대
chamber, 방
dense, 밀집한
tract, 관
lung, 폐
visible, 보이는
pursue, 추구하다
consist, 이루어져 있다
figure, 수치
invisible, 보이지 않는
frame, 액자
behaviour, 행동
collective, 집단
enforce, 억지로 시키다
tolerate, 참다
elevator, 엘리베이터
swear, 욕을 하다
frown, 찌푸린 얼굴
throat, 목
suck, 빨다
video, 동영상
boost, 후원
bloody, 피의
airline, 공기 호스
dose, 정량
bid, 매기다
distribute, 분배하다
register, 등록하다
tax, 세
shell, 껍데기
court, 법원
arrest, 체포
abuse, 남용
scandal, 추문
board, 판자
index, 색인
confirm, 확인하다
telescope, 망원경
investment, 투자
theme, 주제
depression, 우울증
suicide, 자살
manufacture, 제조
modify, 수정하다
suspend, 유예하다
annual, 연간
sausage, 소시지
brand, 상표
asset, 유산
explode, 터지다
blast, 폭발
mount, 산
access, 입장
leap, 뛰다
frog, 개구리
gap, 갭
preserve, 보존하다
hydrogen, 수소
influential, 힘 있는
minister, 장관
cabinet, 내각
productivity, 생산력
slight, 근소한
stuf, 갈대
proceed, 진행하다
academy, 학원
pill, 알약
recognition, 인식
reality, 현실
abroad, 해외에서
wealthy, 풍부한
communication, 의사소통
generally, 일반적으로
jean, 여자 이름
institute, 학회
distinguish, 구별하다
personality, 성격
talent, 재능
infinite, 무한
variation, 변화
handle, 핸들
private, 사적인
auto, 자동
drag, 견인
release, 풀어 주다
revise, 개정하다
wreck, 난파선
rival, 경쟁자
attract, 끌어 들이다
package, 패키지
plastic, 플라스틱
instrument, 기구
gradual, 점진적인
interpret, 해석하다
curriculum, 과정
establishment, 설립
fee, 요금
apartment, 아파트
forbid, 금지하다
ownership, 소유권
typical, 전형적인
affection, 애정
attitude, 태도
emphasis, 중요성
mankind, 인류
quest, 탐구
copyright, 저작권
comprehensive, 포괄적인
electronic, 전자
reserve, 예약하다
keyboard, 건반
monitor, 감시 장치
transmit, 부치다
creation, 창조
software, 소프트웨어
nowhere, 아무데도
extraordinary, 기이한
steep, 험한
clif, 절벽
specimen, 표본
liver, 간
voluntary, 자발적인
reject, 거부하다
obvious, 분명한
majority, 다수
rural, 시골의
cable, 케이블
jet, 제트기
exception, 예외
adventure, 모험
isolate, 격리하다
interrupt, 방해하다
precision, 정도
variety, 다양성
extensive, 광범위한
semiconductor, 반도체
encounter, 맞닥뜨리다
argue, 다투다
ignorance, 무지
practically, 거의
submerge, 잠수하다
amaze, 놀리다
bay, 만
existence, 존재
investigate, 조사하다
transparent, 투명한
shield, 방패
complicate, 복잡하다
landscape, 풍경
authority, 권한
uncover, 폭로하다
instance, 사례
grab, 붙잡다
tray, 쟁반
counter, 계수기
misunderstand, 오해하다
Romantic, 로맨틱
pattern, 무늬
undergraduate, 대학 재학생
entry, 기입
award, 상
finance, 재원
responsibility, 책임
theoretical, 이론적
undertake, 맡다
mathematics, 수학
spot, 점
prominent, 중요한
nerve, 신경 이상
female, 여성
create, 만들다
desirable, 바람직한
preference, 선호
tone, 음정
social, 사회의
similarly, 비슷하게
provision, 공급
payment, 지불
erect, 세우다
boundary, 경계
conversely, 거꾸로
proportion, 비율
accomplish, 성취하다
nursery, 양식장
abandon, 버리다
pilot, 조종사
evolution, 진화
massive, 엄청난
enormous, 막대한
bulk, 대부분
admission, 가입
applicant, 응모자
hazard, 위험
organic, 본질적인
capable, 유능한
artificial, 인공의
distinction, 구별
label, 상표
terminal, 단말기
commitment, 약속
inform, 알리다
screen, 화면
directly, 곧장
persist, 지속하다
arrange, 마련하다
ceremony, 의식
whichever, 어느 쪽이든
decline, 감소
eagle, 독수리
respectively, 각기
dramatic, 극적인
assist, 돕다
feasible, 실행할 수 있는
inner, 안의
portion, 부분
devote, 바치다
disappear, 사라지다
seminar, 세미나
slogan, 슬로건
expression, 표현
solve, 해결하다
disgust, 싫음
tutor, 가정 교사
painter, 화가
afford, 여유가 되다
unless, ~하지 않는 한
extra, 추가의
lane, 레인
leisure, 여가
appeal, 항소
outline, 개요
conform, 따르다
consumption, 소비
alarm, 경보
accommodation, 숙소
postpone, 연기하다
excessive, 과도한
exhibit, 전시하다
gallery, 갱도
studio, 사진관
peer, 또래
architecture, 건축학
fatigue, 피로
accident, 사고
shortage, 부족
acquire, 습득하다
govern, 통치하다
fortunately, 다행스럽게도
auction, 경매
session, 세션
emotion, 감정
notify, 통지하다
anyway, 그래도
section, 부분
depart, 출발하다
via, ~을 통해
dispose, 처분하다
basically, 원래
vote, 투표
election, 선거
unfortunately, 안타깝게도
active, 활동적인
construct, 건설하다
mislead, 오해하게 하다
optional, 선택 과목
brief, 짧은
infect, 감염시키다
previous, 이전의
automatic, 오토매틱
phase, 단계
translation, 번역
volcano, 화산
glow, 불타는 듯한 빛깔
melt, 녹다
campus, 교정
creep, 살금살금 기다
inland, 내륙
conventional, 전통적인
cite, 인용문
junior, 후진
quit, 그만두다
motive, 동기
prosperous, 번영하는
guidance, 안내
facility, 시설
invasion, 침입
chapter, 장
summary, 요약
leather, 가죽
profound, 심오한
discount, 할인
delegate, 대리자
essay, 수필
accuracy, 정확성
client, 고객
objective, 목적
instinct, 본능
reaction, 반응
festival, 제전
snack, 간식
reference, 참조
prior, 이전의
reliable, 믿을 수 있는
shortly, 곧
detection, 발각
crystal, 결정
identification, 신분증
religious, 종교의
convenience, 편의
behalf, 대신하여
submit, 제출하다
clash, 충돌
leadership, 지도
representative, 대표
interaction, 상호 작용
format, 체재
mechanical, 기계적인
jury, 배심
log, 통나무
corridor, 복도
crash, 충돌
physician, 내과 의사
committee, 위원회
scare, 공황
concise, 간결한
residence, 거주
preliminary, 예비의
calculate, 믿다
critic, 비평가
biology, 생물학
tough, 힘든
appointment, 약속
quotation, 인용
contact, 연락하다
assumption, 추정
corporation, 법인
provide, 제공하다
formal, 공식적인
sector, 부문
credit, 신용 거래
fulfil, 다하다
fertile, 비옥한
version, 버전
flaw, 결함
proposal, 제안
volunteer, 자원 봉사자
thorough, 철저한
cancel, 취소
imagination, 상상력
vocabulary, 어휘
viewpoint, 견해
fiction, 소설
slide, 슬라이드
intelligence, 지능
stain, 얼룩
vacation, 휴가
evident, 분명한
speculate, 추측하다
numerous, 많은
folk, 사람들
percentage, 백분율
additional, 추가의
discipline, 규율
prospective, 장래의
dynamic, 동적
vessel, 선박
deadline, 사선
cash, 현금
occurrence, 발생
transmission, 전염
indicate, 나타내다
tension, 긴장
hardware, 하드웨어
receipt, 영수증
phenomenon, 현상
imitate, 본뜨다
accent, 악센트
relativity, 상대성
editor, 편집자
poetry, 시
convention, 협약
rhythm, 율
guideline, 지침
grasp, 파악
enquire, 묻다
noticeable, 눈에 띄는
comment, 논평
flourish, 융성
objection, 반대
controversy, 논쟁
principal, 주요한
regardless, ~에 관계없이
framework, 뼈대
hesitate, 망설이다
electricity, 전기
giant, 거대한
relevant, 관련 있는
up-to-date, 최신
mathematical, 매우 정확한
organise, 정리하다
principle, 원칙
particle, 입자
sphere, 구체
equation, 방정식
namely, 즉
electron, 전자
frequent, 잦은
thick, 두꺼운
fog, 안개
severe, 극심한
lorry, 사륜 짐마차
philosophy, 철학
derive, 파생하다
equality, 평등
justify, 신이 옳다고 하다
conduct, 지휘하다
employment, 고용
oppose, 대들다
intelligent, 지능적인
remind, 상기시키다
trash, 쓰레기
destructive, 파괴적인
assign, 양수인
petrol, 가솔린
ambulance, 구급차
delivery, 배달
renew, 고쳐 쓰다
imperative, 피할 수 없는
destruction, 파괴
desire, 욕구
frank, 솔직한
architect, 건축가
balcony, 발코니
curve, 곡선
dimension, 차원
Forth, 앞으로
combination, 콤비네이션
specify, 지정하다
string, 끈
coordinate, 동등 어구
penetrate, 침투하다
gravity, 중력
ankle, 발목
radiation, 방사
decay, 부식
prime, 초기
restore, 복원하다
input, 입력
ideal, 이상적인
diagram, 도표
fancy, 팬시한
prospect, 전망
minority, 소수
presence, 있음
continual, 지속적인
fountain, 분수
invent, 꾸미다
typewriter, 타이프라이터
journalist, 기자
recorder, 기록계
tide, 조류
oblige, 의무를 다하다
obligation, 의무
initiative, 계획
residential, 주거용
psychological, 심리적
extreme, 극심한
camel, 낙다
conquer, 억누르다
attraction, 끌어 당김
geometry, 기하학
keen, 날카로운
specialist, 전문가
riot, 폭동
suspect, 의심하다
absorb, 흡수하다
worthwhile, 할 보람 있는
insight, 통찰력
valid, 유효한
fabric, 구조
element, 요소
horn, 뿔
resolve, 해결하다
lord, 주님
Passion, 열정
sustain, 지속시키다
scout, 스카우트
fairly, 꽤
slice, 일부분
vitamin, 비타민
naked, 적나라한
appreciate, 고마워하다
recommendation, 추천
abundant, 풍족한
supplement, 보충
mushroom, 버섯
treatment, 치료
alcohol, 술
faulty, 불완전한
induce, 유도하다
agent, 대리인
poll, 투표
elect, 선택된
eliminate, 제거하다
democratic, 민주적인
textile, 직물
commission, 수수료
exceed, 초과하다
classification, 분류
cognitive, 인지
underneath, 하면
scholar, 학자
reconcile, 조정하다
nevertheless, 그럼에도 불구하고
prestige, 명성
stadium, 경기장
salesman, 판매원
coach, 코치
brilliant, 멋진
entertain, 즐겁게 하다
amuse, 쁘게 하다
moral, 도의적인
admire, 존경하다
fairy, 요정
somehow, 어떻게든
butterfly, 나비
worm, 벌레
physicist, 물리학자
resistance, 저항
independence, 독립
loyal, 충실한
ambassador, 대사
tropical, 열렬한
Pole, 폴
assume, 추정하다
descend, 하강하다
extend, 연장하다
rat, 쥐
constitution, 헌법
civil, 예의 바른
emperor, 황제
protest, 항의
steady, 꾸준한
grain, 곡물
stale, 탁한
province, 주
complaint, 불평
rail, 레일
inhabitant, 그들은 거주한다
liberal, 많은
differ, 다르다
shortcoming, 결점
error, 오류
shelter, 대피소
tag, 꼬리표
monument, 기념물
humble, 겸손한
subway, 지하철
embrace, 포옹하다
grant, 승인하다
inspire, 고무하다
educate, 기르다
concrete, 콘크리트
strategic, 전략적
urgent, 긴급한
brow, 이마
literary, 문호
reporter, 보고자
curious, 궁금한
mixture, 혼합물
feedback, 피드백
enrich, 높이다
musician, 음악가
historic, 역사적인
heritage, 유산
saint, 성자
incredible, 믿을 수 없는
retreat, 후퇴
occupy, 점유하다
drill, 송곳
urge, 충고하다
specifically, 구체적으로
summit, 정상 회담
harness, 마구
realm, 왕국
illustration, 삽화
christian, 신자
spin, 회전
rocket, 로켓
concentrate, 집중하다
turbine, 터빈
pump, 펌프
angle, 각도
blade, 잎
flat, 평평한
owe, 빚지다
sheer, 얇은
horror, 공포
grateful, 고마워하는
route, 노선
circuit, 회로
interference, 간섭
rescue, 구조하다
multiply, 곱하다
breadth, 폭
hurricane, 허리케인
tragedy, 비극
carrier, 담체
victim, 피해자
plot, 구성
vertical, 수직의
recession, 경기 후퇴
literacy, 읽고 쓰는 능력
correspond, 대응하다
chip, 칩
Calorie, 칼로리
bucket, 버킷
spark, 불꽃
lid, 뚜껑
stir, 젓다
fluid, 체액
drum, 북
lick, 핥다
stable, 안정적인
anxious, 불안해하는
relax, 안심하다
technician, 기술자
attach, 붙이다
float, 뜨다
swell, 팽창
squeeze, 짜내다
detect, 감지하다
muscular, 근육질의
ballet, 발레
vocal, 보컬
hammer, 망치
confront, 직면하다
conductor, 지휘자
imply, 암시하다
remark, 발언
tractor, 트랙터
religion, 종교
definite, 확실한
receiver, 수신기
passive, 수동적인
introduction, 도입
auxiliary, 보조의
mere, 단순한
sum, 합계
deficiency, 결핍
superficial, 피상적인
utter, 완전한
clerk, 점원
troop, 군대
standpoint, 관점
wool, 양모
vanish, 사라지다
lucky, 운이 좋은
addition, 추가
peak, 정점
panel, 패널
reasonable, 합리적인
bump, 부딪치다
pour, 붓다
scatter, 흩뿌리다
mild, 온화한
moisture, 수분
slope, 경사
column, 기둥
diameter, 지름
faith, 믿음
notion, 개념
pursuit, 추구
thereby, 그로 인해
peculiar, 독특한
accompany, 동행하다
wrap, 포장하다
expansion, 확장
cautious, 조심스러운
acquisition, 습득
donation, 기부
rotate, 회전하다
storage, 저장
delicate, 섬세한
swift, 신속한
recover, 회복하다
outstanding, 뛰어난
repeatedly, 반복적으로
canal, 운하
confuse, 혼란스럽게 하다
grip, 움켜쥐다
favourite, 좋아하는
expense, 비용
thumb, 엄지
awful, 끔찍한
charity, 자선
conclude, 결론짓다
graceful, 우아한
tender, 부드러운
salad, 샐러드
ridge, 산등성이
relieve, 안도시키다
static, 정적인
lover, 연인
frequency, 빈도
superior, 우수한
prevail, 만연하다
recreation, 레크리에이션
dorm, 기숙사
ash, 재
bathe, 씻다
estate, 사유지
stripe, 줄무늬
poisonous, 유독한
poison, 독
barn, 헛간
beam, 광선
straw, 빨대
bundle, 묶음
clay, 점토
tile, 타일
craft, 공예
microphone, 마이크
transition, 전환
procedure, 절차
suggestion, 제안
pest, 해충
centigrade, 섭씨
construction, 건설
sketch, 스케치
statement, 성명
hay, 건초
Revolutionary, 혁명적인
chew, 씹다
thirsty, 목마른
title, 제목
overcome, 극복하다
aside, 곁에
priority, 우선 사항
classical, 고전
rigid, 엄격한
contemporary, 현대의
scenery, 경치
conceal, 숨기다
enthusiastic, 열렬한
