ignore, 무시하다
downloadable, 다운로드 가능한
calorie, 칼로리
hang, 걸다
management, 관리
billion, 10억
america, 미국
specific, 특정한
musical, 음악의
undergraduate, 학부생
trade, 무역
era, 시대
principally, 주로
autonomy, 자율성
configuration, 구성
crucial, 중요한
bacteria, 박테리아
mule, 노새
compositional, 구성의
rent, 임대료
statue, 동상
neurone, 신경세포
attendance, 출석
function, 기능
underlie, 기초가 되다
nearby, 근처의
numerous, 수많은
overseas, 해외의
mentor, 멘토
submit, 제출하다
labour, 노동
representative, 대표
financial, 재정적인
mathematical, 수학적인
construction, 건설
firm, 회사
astronomer, 천문학자
homebuyers, 주택 구매자
single, 단일의
potential, 잠재력
mathematic, 수학의
aim, 목표
view, 견해
gown, 가운
vocational, 직업의
migration, 이주
distinguish, 구별하다
stair, 계단
rate, 비율
institution, 기관
tobacco-related, 담배 관련의
outline, 개요
argument, 논쟁
children, 아이들
fashion, 패션
add, 추가하다
likely, ~할 것 같은
combination, 조합
status, 상태
sorrow, 슬픔
vie, 경쟁하다
conductor, 지휘자
lecture, 강의
factor, 요인
photograph, 사진
competitive, 경쟁적인
ought, ~해야 한다
hypothesis, 가설
addition, 추가
leadership, 리더십
protest, 항의하다
measure, 측정하다
economic, 경제적인
observer, 관찰자
foreign, 외국의
nation, 국가
advance, 발전
release, 발표하다
verify, 확인하다
secretary, 비서
improper, 부적절한
judge, 판단하다
conflict, 갈등
enrol, 등록하다
tomb, 무덤
environmental, 환경의
crisis, 위기
phase, 단계
authority, 권위
download, 다운로드하다
mature, 성숙한
laundry, 세탁물
lowest, 가장 낮은
muscle, 근육
nitrogen, 질소
bus, 버스
participation, 참여
emission, 배출
enormously, 엄청나게
gap, 격차
consensus, 합의
emirate, 에미리트
academic, 학문의
confirm, 확인하다
lifestyle, 생활 방식
minimal, 최소의
correlate, 상관시키다
aid, 도움
publication, 출판물
highlight, 강조하다
significant, 중요한
loss, 손실
grateful, 감사하는
dynamics, 역학
cultural, 문화적인
peculiar, 특이한
intimidate, 위협하다
tradition, 전통
proactive, 사전 예방적인
biotechnology, 생명공학
technique, 기술
initially, 처음에
relate, 관련되다
strike, 파업
guideline, 지침
gas, 가스
apartment, 아파트
worldwide, 전 세계적으로
buyer, 구매자
recession, 경기 침체
enterprise, 기업
motivate, 동기를 부여하다
infrastructure, 기반 시설
distant, 먼
unemployment, 실업
handout, 유인물
fierce, 치열한
comprise, 구성하다
impossible, 불가능한
minutes, 회의록
cure, 치료하다
broad, 넓은
discourage, 단념시키다
bookshop, 서점
confidence, 자신감
series, 시리즈
budget, 예산
principle, 원칙
type, 유형
cite, 인용하다
planner, 계획자
harbour, 항구
greece, 그리스
interim, 중간의
audit, 감사
implementation, 이행
untapped, 미개발된
foliage, 잎
rigorous, 엄격한
oxygen, 산소
fee, 수수료
assignment, 과제
mobility, 이동성
issue, 문제
concern, 우려
drill, 훈련
dedicate, 헌신하다
stream, 시내
entertainment, 오락
agree, 동의하다
migrate, 이주하다
conservative, 보수적인
transmit, 전송하다
sandwich, 샌드위치
drug, 약물
disagree, 동의하지 않다
toast, 토스트
presenter, 발표자
operate, 운영하다
limit, 제한하다
premiss, 전제
greatest, 가장 위대한
suffer, 고통받다
elective, 선택의
facility, 시설
sessions, 세션
reimbursement, 상환
sales, 판매
laptop, 노트북
appropriately, 적절하게
global, 세계적인
advertizement, 광고
simplify, 단순화하다
sooner, 더 빨리
gorgeously, 화려하게
eradicate, 근절하다
education, 교육
smoothly, 순조롭게
utilise, 활용하다
eventual, 최종적인
bigotry, 편협함
accountant, 회계사
interconnection, 상호 연결
momentum, 운동량
normal, 정상적인
safely, 안전하게
catalogue, 목록
poverty, 빈곤
tropical, 열대의
threaten, 위협하다
latest, 최신의
carbon, 탄소
rethink, 재고하다
expert, 전문가
exceptional, 예외적인
commission, 위원회
mutually, 상호적으로
projection, 예측
extracurricular, 과외의
preparation, 준비
approve, 승인하다
weed, 잡초
team, 팀
security, 보안
collection, 수집
nutritional, 영양의
fuel, 연료
mathematics, 수학
prestigious, 명망 있는
london, 런던
constantly, 끊임없이
extremely, 극도로
perfectly, 완벽하게
steam, 증기
roman, 로마의
organisation, 조직
visually, 시각적으로
motivation, 동기
income, 수입
receipt, 영수증
monolithic, 단일의
entrance, 입구
smartphone, 스마트폰
send, 보내다
obey, 복종하다
actively, 적극적으로
stable, 안정적인
catchment, 집수 지역
collapse, 붕괴하다
definitive, 결정적인
contract, 계약
devices, 장치
decline, 감소
transport, 운송
organ, 기관
sanitation, 위생
previously, 이전에
demure, 점잖은
tend, 경향이 있다
construct, 건설하다
quantum, 양자
extend, 연장하다
contest, 대회
pharmacy, 약국
lounge, 라운지
car, 자동차
career, 경력
generous, 관대한
association, 협회
commence, 시작하다
accelerate, 가속하다
combine, 결합하다
policy, 정책
design, 설계하다
diet, 식단
amount, 양
journal, 학술지
higher, 더 높은
flaw, 결함
necessarily, 필연적으로
wildlife, 야생 동물
poetry, 시
artificial, 인공적인
file, 파일
tribe, 부족
investor, 투자자
tricky, 까다로운
negotiable, 협상 가능한
guilty, 유죄의
vocabulary, 어휘
commencement, 시작
leaflet, 전단지
priority, 우선순위
punctually, 시간을 지켜
cell, 세포
tube, 튜브
leisure, 여가
flask, 플라스크
nasa, 나사
occur, 발생하다
purity, 순수함
range, 범위
perspective, 관점
redesign, 재설계하다
tutor, 튜터
feedback, 피드백
chart, 차트
dedication, 헌신
element, 요소
figure, 수치
underestimate, 과소평가하다
metabolic, 신진대사의
unsustainable, 지속 불가능한
commissioner, 위원
port, 항구
company, 회사
fundamental, 근본적인
compulsory, 의무적인
discipline, 규율
unable, ~할 수 없는
growth, 성장
castle, 성
opportunity, 기회
reference, 참고
essential, 필수적인
software, 소프트웨어
glad, 기쁜
globalisation, 세계화
city, 도시
effective, 효과적인
boundary, 경계
placement, 배치
sustainable, 지속 가능한
author, 저자
unsure, 불확실한
handle, 다루다
update, 업데이트하다
employer, 고용주
affordable, 저렴한
overabundant, 과다한
convert, 전환하다
inform, 알리다
shelf, 선반
inventor, 발명가
appreciation, 감사
regional, 지역의
phenomenon, 현상
architecture, 건축
conference, 회의
hong, 홍콩
intend, 의도하다
revise, 수정하다
consideration, 고려
bury, 묻다
considerable, 상당한
path, 경로
substantial, 상당한
world-renowned, 세계적으로 유명한
experience, 경험
outdoors, 야외에서
accurate, 정확한
charge, 비용
faculty, 학부
founder, 설립자
represent, 대표하다
climate, 기후
personnel, 인력
journalist, 기자
strain, 부담
overlook, 간과하다
workforce, 노동력
display, 전시하다
archeologist, 고고학자
travel, 여행하다
nervously, 초조하게
frequently, 자주
weekday, 평일
maximum, 최대의
exceed, 초과하다
evacuate, 대피하다
tax, 세금
structural, 구조적인
controversy, 논쟁
committee, 위원회
monthly, 월간의
election, 선거
pollution, 오염
postgraduate, 대학원생
incorrect, 부정확한
section, 섹션
vegan, 비건
heat, 열
effort, 노력
mixture, 혼합물
disability, 장애
cruelty, 잔인함
negative, 부정적인
automatically, 자동적으로
discuss, 토론하다
immunity, 면역
creature, 생물
electric, 전기의
anatomy, 해부학
architect, 건축가
visual, 시각적인
employ, 고용하다
qualification, 자격
profit, 이익
formal, 공식적인
sufficient, 충분한
recommendation, 추천
accompany, 동반하다
involve, 포함하다
web, 웹
archeology, 고고학
flow, 흐름
vulnerable, 취약한
solid, 고체의
manufacture, 제조하다
university, 대학교
forefront, 선두
