exhaust, 배기가스
smoke, 연기
unlikely, ~할 것 같지 않은
widespread, 펼친
acceptance, 수락
criminal, 범인
regulation, 규제
vary, 달라지다
definition, 정의
employ, 고용
legislation, 법률 제정
define, 정의하다
substance, 물질
loose, 헐렁한
welfare, 복지
refer, 나타내다
comparison, 비교
regard, 관심
universal, 만능인
region, 지역
obtain, 얻다
newspaper, 신문
realize, 깨닫다
discover, 발견하다
explanation, 설명
characteristic, 특성
galaxy, 은하
statistics, 통계
teach, 가르치다
transformation, 변환
variable, 변하기 쉬운
select, 선택하다
statistical, 통계적
analyse, 분석하다
advancement, 진보
arduous, 어려운
task, 일
doctor, 의사
practice, 관행
medicine, 약
balance, 균형
motivate, 동기를 부여하다
diverse, 다양한
legal, 합법적인
cheerful, 쾌활한
attention, 주목
enhance, 향상시키다
concentration, 집중
speed, 속도
metabolism, 대사
rational, 합리적인
box, 상자
tool, 도구
science, 과학
precise, 정밀한
divide, 나누다
hemisphere, 반구
function, 기능
creative, 창의적인
logical, 논리적
tendency, 성향
tend, 추세
period, 기간
crowd, 군중
global, 글로벌
warm, 따뜻한
atmosphere, 대기
trend, 경향
environmental, 환경
governmental, 정부
worldwide, 세계적인
greenhouse, 온실
personnel, 인원
target, 목표
datum, 자료
steal, 훔치다
investigator, 조사자
Republican, 공화주의자
candidate, 후보자
sharp, 날카로운
politics, 정치
response, 응답
reduction, 절감
emission, 방사
burn, 불타다
replace, 바꾸다
electrical, 전기 같은
efficient, 효율적인
urban, 도시의
terrain, 지역
illegal, 불법적인
crime, 범죄
export, 내보내다
lenient, 허술한
model, 모델
evolve, 진화하다
interpretation, 해석
bear, 곰
delineate, 묘사하다
originate, 유래하다
revolution, 혁명
skilled, 숙련된
organize, 정리하다
improvement, 개선
engage, 관계를 맺다
necessary, 필요한
fascinate, 호리다
magnificent, 웅장한
metropolitan, 대주교
museum, 박물관
flow, 흐름
object, 물체
lie, 거짓말하다
locate, 위치하고 있다
cluster, 무리
climate, 기후
improve, 개선하다
reveal, 드러내다
reform, 개정
rank, 계급
donor, 기증자
complain, 불평하다
grind, 갈기
dependent, 매달린
structure, 구조
challenge, 도전
complex, 복잡한
certainly, 틀림없이
impressive, 인상적인
coastal, 연안
importance, 중요성
capability, 능력
retain, 유지하다
nutrient, 영양소
maintain, 유지하다
flood, 홍수
contain, 포함하다
collapse, 무너지다
store, 가게
welcome, 환영
device, 장치
personal, 개인의
assistant, 어시스턴트
application, 애플리케이션
commercial, 광고
location, 위치
tie, 묶다
zone, 존
message, 메시지
prove, 입증하다
separate, 분리된
item, 목
content, 콘텐츠
instruction, 지침
express, 표현하다
convey, 전달하다
correct, 옳은
relation, 관계
conversation, 대화
integrate, 통합하다
key, 열쇠
space, 공간
historian, 역사가
character, 성격
medieval, 중세의
sympathy, 동정
entertainment, 오락
adapt, 적응하다
benefit, 혜택
introduce, 소개하다
exam, 시험
concept, 개념
possibility, 가능성
integration, 완성
increasingly, 더욱 더
emerge, 알려지다
relate, 말하다
competitive, 경쟁력 있는
useful, 유용한
essential, 필수적인
settle, 해결하다
perceive, 감지하다
quality, 품질
participant, 참가자
pick, 선택하다
significant, 중요한
inevitable, 불가피한
outcome, 결과
Parliament, 의회
crucial, 중대한
ancient, 고대의
occur, 발생하다
planet, 행성
channel, 채널
contrast, 차이
recognize, 인정하다
successful, 성공적인
ride, 타다
park, 공원
safety, 안전
technology, 기술
gear, 기어
physical, 물리적
immune, 면역성 있는
bacteria, 박테리아
virus, 바이러스
culture, 문화
belief, 믿음
network, 회로망
guide, 가이드
shift, 옮기다
sleep, 잠
double, 더블
risk, 위험
impact, 영향
heavily, 무겁게
hunt, 사냥
photograph, 사진
avoid, 피하다
hike, 인상
predator, 포식자
dolphin, 돌고래
sociable, 간친회
reproduce, 낳다
threat, 위협
western, 서부 사람
rich, 부자
Empire, 제국
marine, 선박
biologist, 생물학자
coastline, 해안선
collect, 모으다
vital, 필수적인
particular, 특정한
population, 인구
sail, 돛
exist, 존재하다
pollution, 오염
station, 역
economics, 경제학
pure, 순수한
narrative, 이야기
detail, 세부 사항
village, 마을
flag, 깃발
identify, 식별하다
status, 상태
resemble, 닮다
size, 크기
indication, 표시
owner, 소유자
historically, 역사적으로
estimate, 추정
visual, 시각적
image, 영상
accurate, 정확한
expensive, 값비싼
due, ~로 인한
syndrome, 증후군
habitat, 서식지
abundance, 풍부
forest, 숲
density, 밀도
agriculture, 농업
publish, 출판하다
ecology, 생태학
initial, 초기의
collide, 충돌하다
tissue, 조직
burst, 터지다
maximum, 최고
author, 작가
cheap, 값이 싼
flexible, 유연한
switch, 스위치
mark, 표시
link, 링크
formation, 형성
damage, 손상
earthquake, 지진
predict, 예측하다
strike, 스트라이크
resident, 거주자
significantly, 상당히
trust, 신뢰하다
dividend, 피제수
Goal, 목표
maximization, 극대화
throw, 던지다
perspective, 관점
currency, 통화
manipulator, 속이는 사람
expert, 전문가
basis, 기초
impose, 부과하다
layer, 층
bind, 묶다
magnetic, 자기
polarity, 극성
platinum, 백금
propulsion, 추진
react, 반응하다
oxygen, 산소
tube, 튜브
timely, 때마침
spirit, 영혼
television, 텔레비전
workable, 움직일 수 있는
simple, 단순한
schedule, 일정
involve, 관련시키다
indoor, 실내
undesirable, 탐탁지 않은
choice, 선택
vast, 대단한
original, 원래의
audience, 청중
implication, 함축
democracy, 민주주의
strive, 애쓰다
technological, 기술적
restrict, 얽매다
appliance, 기구
entity, 실재
journalism, 저널리즘
site, 대지
update, 업데이트
famous, 유명한
correspondent, 거래처
topic, 주제
affair, 일
lean, 기대다
demonstrate, 입증하다
unique, 고유한
everyone, 모든 사람
wear, 입다
article, 기사
clothe, 덮다
versatility, 다재
creature, 생물
impossible, 불가능한
true, 진실
origin, 기원
trace, 추적하다
scale, 규모
disguise, 위장하다
search, 찾다
crisis, 위기
suffer, 시달리다
confidence, 신뢰
arise, 생기다
solution, 해결책
computer, 컴퓨터
refine, 다듬다
disaster, 재해
organization, 조직
various, 다양한
incident, 사건
criteria, 기준
implement, 구현하다
thesis, 명제
formulate, 공식화하다
drop, 떨어지다
holiday, 휴일
feature, 특징
heart, 마음
eventually, 결국
spread, 확산
tradition, 전통
master, 주인
degree, 도
temporary, 일시적인
skill, 기능
manager, 관리자
expenditure, 지출
ensure, 보장하다
appropriate, 적절한
conflict, 갈등
globalization, 세계화
explosion, 폭발
connect, 연결하다
garden, 정원
precious, 귀중한
expand, 확장하다
horizon, 수평선
comedy, 코메디
creativity, 창의성
hire, 고용하다
salary, 샐러리
dramatically, 극적으로
gender, 성별
outperform, 능가하다
domestic, 국내의
intensive, 강한
rehearsal, 암송
illness, 병
overlook, 간과하다
divorce, 이혼
invention, 발명
household, 가정
heat, 열
deposit, 보증금
native, 토종의
renowned, 유명한
render, 세우다
expectation, 기대
opt, 고르다
engineer, 엔지니어
indigenous, 원주민
conscious, 의식하는
raw, 날것의
attribute, 기인하다
considerably, 상당히
recommend, 추천하다
prestigious, 권위있는
contract, 계약
vehicle, 차량
mention, 언급하다
website, 웹사이트
field, 필드
british, 영국의
universe, 우주
wheelchair, 바퀴 달린 의자
aware, 알고 있는
serve, 제공하다
garage, 차고
explain, 설명하다
plagiarism, 표절
meat, 고기
skeleton, 해골
mammal, 포유 동물
fad, 일시적 유행
tourism, 관광 여행
minimize, 최소화하다
overseas, 해외
visitor, 방문객
theory, 이론
generation, 세대
survival, 활착
individual, 개인
suit, 정장
higher, 더 높은
chemical, 화학적인
sediment, 침전물
toxic, 독성
table, 테이블
institution, 기관
display, 표시하다
aquarium, 수족관
primarily, 주로
exotic, 이국적인
weight, 무게
captivity, 포로
cloud, 구름
distinct, 별개의
category, 범주
nimbus, 구름
shape, 모양
weather, 날씨
generate, 생성하다
surface, 표면
wing, 비행
flap, 플랩
effectively, 효과적으로
associate, 연관짓다
reception, 리셉션
rend, 찢다
proper, 적절한
knot, 매듭
lure, 매혹
mission, 사명
prerequisite, 전제조건
so-called, 소위
professional, 전문적인
popular, 인기 있는
rare, 희귀한
nature, 자연
chronic, 만성병 환자
disease, 질병
joint, 관절
exercise, 운동
routine, 루틴
senate, 상원
respect, 존경
opportunity, 기회
guarantee, 보장하다
profitable, 유리한
beneficial, 유익한
effective, 효과적인
microbe, 미생물
experimental, 실험적인
productive, 생기게 하는
consume, 소비하다
assembly, 집회
traditional, 전통적인
assessment, 평가
academic, 학생
anxiety, 불안
primary, 주요한
acute, 심각한
perform, 공연하다
intensity, 강함
secret, 비밀
growth, 성장
specialize, 전문화하다
utilize, 활용하다
capture, 포착
contribute, 기여하다
harm, 피해
consideration, 고려 사항
floor, 바닥
endure, 견디다
decrease, 감소하다
ratio, 비율
sophisticate, 정교하다
Incentive, 자극
scheme, 계획
corporate, 기업
reward, 보상
respond, 대답하다
politician, 정치가
note, 메모
compare, 비교하다
humanity, 인류
dark, 어두운
dispute, 논쟁
range, 범위
stress, 스트레스
cycle, 주기
production, 생산
methane, 메탄
waste, 쓰레기
reuse, 재사용
toxicology, 독물학
ongoing, 전진
tremendous, 엄청난
versatile, 변하기 쉬운
satellite, 위성
repair, 수리하다
orbit, 궤도
prolong, 길게 하다
critically, 비판적으로
endanger, 위험에 빠뜨리다
square, 정사각형
doubt, 의심
colleague, 동료
protein, 단백질
trigger, 방아쇠
hormone, 호르몬
stimulate, 자극하다
bunch, 다발
laboratory, 실혐실
sequence, 순서
gene, 유전자
constant, 끊임없는
symptom, 징후
violence, 폭행
expose, 폭로하다
constantly, 끊임없이
sensitive, 예민한
aggressive, 공격적인
unrealistic, 비현실적인
discovery, 발견
involvement, 참여
literally, 문자 그대로
direction, 방향
informative, 유익한
educational, 교육적인
remarkable, 놀랄 만한
enjoy, 즐기다
wonder, 궁금하다
undoubtedly, 의심할 여지 없이
considerable, 많은
sex, 섹스
manage, 관리하다
minus, 마이너스
organ, 오르간
organism, 유기체
basic, 기초적인
fundamental, 근본적인
translate, 번역하다
transport, 수송
tiny, 매우 작은
component, 요소
equally, 같이
barrier, 장벽
insect, 곤충
withstand, 버티다
graze, 찰과상
exclusive, 독점적인
convert, 전환하다
essentially, 본질적으로
dine, 식사하다
soft, 부드러운
background, 배경
pension, 연금
income, 소득
sufficient, 충분한
psychology, 심리학
rapidly, 급속히
cast, 깁스
vegetable, 채소
infant, 유아
everywhere, 어디에나
decade, 10년
historical, 역사적인
circumstance, 상황
salt, 소금
consequence, 결과
infrastructure, 하부 구조
ass, 나귀
reverse, 뒤집다
failure, 실패
paint, 페인트
participation, 참여
online, 온라인
pioneer, 개척자
underlie, 기초가 되는
injure, 해치다
mechanism, 기구
regeneration, 재건
ultimately, 궁극적으로
recovery, 회복
compete, 경쟁하다
stair, 계단
automatically, 자동으로
adjust, 조정하다
sales, 매상
review, 검토
consumer, 소비자
evaluate, 평가하다
platform, 플랫폼
encourage, 장려하다
elderly, 연세가 드신
stability, 안정
assistance, 보조
nuclear, 핵무기
weapon, 무기
volume, 용량
transform, 변환
shed, 창고
revenue, 수익
football, 축구
unprecedented, 전례 없는
invest, 투자하다
talented, 재간 있는
multiple, 다수의
scholarship, 장학금
athlete, 운동 선수
commit, 저지르다
virtual, 가상
document, 문서
intend, 의도하다
suppose, 가정하다
survivor, 살아남은 사람
neighbour, 이웃
ignore, 무시하다
train, 기차
few, 약간의
cohort, 보병대
converge, 모이다
enrol, 싸다
trial, 재판
resolution, 해결
Congress, 대회
breathe, 숨 쉬다
relief, 안도
emergency, 비상
advise, 권하다
viable, 생존 가능한
approval, 승인
extension, 확대
corner, 모서리
trap, 덫
investor, 투자자
distress, 고통
evaporate, 사라지다
identity, 신원
immediately, 즉시
root, 뿌리
sample, 견본
swim, 헤엄
tight, 단단한
restriction, 제한
crop, 수확고
fragment, 파편
lack, 부족
warn, 경고하다
foundation, 기반
acknowledge, 인정하다
mental, 정신적인
interact, 상호작용하다
skull, 두개골
sensory, 감각
vision, 비전
assignment, 과제
elementary, 초등학교
property, 재산
maintenance, 유지
landlord, 주인
fine, 괜찮은
sheet, 시트
compress, 압박 붕대
chamber, 방
remove, 제거하다
artery, 동맥
vein, 정맥
visible, 보이는
hillside, 산허리
pursue, 추구하다
consist, 이루어져 있다
riddle, 수수께끼
invisible, 보이지 않는
frame, 액자
behaviour, 행동
collective, 집단
enforce, 억지로 시키다
tolerate, 참다
dormant, 잠자는
prey, 먹이
video, 동영상
boost, 후원
jack, 잭
broadcast, 방송
flight, 비행
customer, 고객
autonomous, 자발적인
standard, 기준
distribute, 분배하다
initially, 처음에는
register, 등록하다
corruption, 부패
scandal, 추문
index, 색인
confirm, 확인하다
telescope, 망원경
consultation, 상의
factory, 공장
investment, 투자
theme, 주제
depression, 우울증
discus, 원반
manufacture, 제조
notice, 알아채다
summer, 여름
premium, 프리미엄
brand, 상표
dozen, 다스
asset, 유산
hill, 언덕
observatory, 전망대
quiescent, 정지한
herald, 전령
revolutionize, 혁명을 일으키다
dissemination, 씨 뿌리기
access, 입장
gap, 갭
infrared, 적외선
hydrogen, 수소
relevance, 관련성
influential, 힘 있는
productivity, 생산력
hunger, 굶주림
retailer, 소매점
proceed, 진행하다
academy, 학원
gather, 모으다
milligram, 밀리그램
caffeine, 카페인
recognition, 인식
reality, 현실
communication, 의사소통
indeed, 물론
jean, 여자 이름
personality, 성격
talent, 재능
bright, 밝은
irritate, 짜증나게 하다
variation, 변화
handle, 핸들
private, 사적인
partisan, 도당
electronics, 전자 제품
revise, 개정하다
mobility, 유동성
lecture, 강의
edge, 가장자리
attract, 끌어 들이다
package, 패키지
plastic, 플라스틱
simultaneously, 동시에
modification, 가감
gradual, 점진적인
disagree, 맞지 않다
interpret, 해석하다
curriculum, 과정
elective, 임의로 선택할 수 있는
psychologist, 심리학자
establishment, 설립
apartment, 아파트
forbid, 금지하다
PET, 애완 동물
typical, 전형적인
attitude, 태도
emphasis, 중요성
fair, 공정한
opposition, 반대
copyright, 저작권
regime, 정권
comprehensive, 포괄적인
bombard, 포
text, 텍스트
electronic, 전자
discourse, 담화
reserve, 예약하다
monitor, 감시 장치
software, 소프트웨어
dodge, 다지
deficient, 부족한
accusation, 고발
momentum, 기세
embed, 포함시키다
specimen, 표본
secrete, 분비하다
context, 문맥
voluntary, 자발적인
reject, 거부하다
mandatory, 필수적인
obvious, 분명한
majority, 다수
rural, 시골의
jet, 제트기
exception, 예외
isolation, 격리
ward, 구
Norm, 표준
dialogue, 대화
path, 길
isolate, 격리하다
frighten, 놀라다
interrupt, 방해하다
discursive, 광범위한
precision, 정도
variety, 다양성
extensive, 광범위한
consistency, 일관성
encounter, 맞닥뜨리다
technical, 인위적인
landmark, 경계표
awareness, 의식
disadvantage, 불리
existence, 존재
investigate, 조사하다
complicate, 복잡하다
landscape, 풍경
premise, 전제
counter, 계수기
seat, 좌석
especially, 특히
memory, 메모리
experiment, 실험
pattern, 무늬
undergraduate, 대학 재학생
excite, 일으키다
valuable, 귀중한
finance, 재원
responsibility, 책임
theoretical, 이론적
undertake, 맡다
competence, 능력
mathematics, 수학
spot, 점
respondent, 응답자
implementation, 구현
desirable, 바람직한
preference, 선호
light, 빛
driver, 운전사
movement, 움직임
sensation, 감각
similarly, 비슷하게
tenuous, 얇은
provision, 공급
boundary, 경계
ornament, 장식
proportion, 비율
prioritize, 우선순위를 정하다
pilot, 조종사
evolution, 진화
greatly, 매우
massive, 엄청난
enormous, 막대한
admission, 가입
inadvertently, 무심코
applicant, 응모자
hazard, 위험
decomposition, 분해
placement, 놓기
equipment, 장비
artificial, 인공의
predominate, 지배하다
distinction, 구별
orient, 동양
label, 상표
terminal, 단말기
commitment, 약속
inform, 알리다
screen, 화면
extract, 발췌
ceremony, 의식
decline, 감소
shop, 가게
portion, 부분
devote, 바치다
disappear, 사라지다
colorful, 화려한
seminar, 세미나
telephone, 전화
expression, 표현
advertisement, 광고
whatever, 무엇이든
solve, 해결하다
triple, 삼루타
AD, 광고
tutor, 가정 교사
afford, 여유가 되다
extra, 추가의
lane, 레인
overeat, 너무 많이 먹다
leisure, 여가
persuade, 설득하다
socioeconomic, 사회 경제적
advertise, 공시 하다
outline, 개요
levy, 부과
consumption, 소비
outweigh, 보다 크다
prediction, 예측
practical, 현실적인
accommodation, 숙소
postpone, 연기하다
basement, 최하부
excessive, 과도한
promotion, 홍보
unhealthy, 위험한
supplementary, 보충
exhibit, 전시하다
studio, 사진관
peer, 또래
conformity, 적합성
persuasive, 동기
architecture, 건축학
fatigue, 피로
accident, 사고
opinion, 의견
acquire, 습득하다
convenient, 편리한
gradually, 서서히
session, 세션
tutorial, 지도 시간
notify, 통지하다
section, 부분
bottom, 맨 아래
stereotype, 스테레오
exhibition, 전시회
construct, 건설하다
timetable, 시간표
mislead, 오해하게 하다
auditorium, 강당
date, 날짜
infect, 감염시키다
previous, 이전의
outbreak, 발생
automatic, 오토매틱
anatomy, 해부
phase, 단계
block, 차단하다
dependence, 의존
performer, 수행자
volcano, 화산
campus, 교정
registration, 등록
eligible, 자격이 있는
conventional, 전통적인
anthropology, 인류학
cite, 인용문
audition, 오디션
lecturer, 강사
motive, 동기
symbolic, 상징적인
geology, 지질학
guidance, 안내
familiar, 친숙한
facility, 시설
circulation, 순환
invasion, 침입
tribe, 부족
chapter, 장
summary, 요약
profound, 심오한
ethical, 윤리적인
dilemma, 양도 논법
discount, 할인
adhere, 고수하다
essay, 수필
supermarket, 슈퍼마켓
periodical, 정기 간행물
regularly, 정기적으로
cramp, 쥐
problematic, 문제가 있는
accuracy, 정확성
client, 고객
objective, 목적
reaction, 반응
olympic, 국제 올림픽 경기 대회
reference, 참조
appropriately, 적절하게
bibliography, 서지
prior, 이전의
reliable, 믿을 수 있는
bread, 빵
solid, 단단한
identification, 신분증
row, 열
celebrate, 축하하다
attendance, 출석
religious, 종교의
behalf, 대신하여
submit, 제출하다
leadership, 지도
representative, 대표
difficulty, 어려움
interaction, 상호 작용
degradation, 하락
aggravate, 화나게 하다
format, 체재
mechanical, 기계적인
interpreter, 통역사
log, 통나무
check, 확인하다
irrelevant, 관련 없는
crash, 충돌
chemistry, 화학
basketball, 농구
physician, 내과 의사
straight, 똑바로
supervisor, 감독자
concise, 간결한
preliminary, 예비의
spring, 봄
overdue, 기한이 지난
incur, 입다
calculate, 믿다
subsidize, 보조금을 지급하다
critic, 비평가
regular, 정기적인
borrow, 빌리다
biology, 생물학
weekend, 주말
physics, 물리학
contact, 연락하다
optimism, 낙천주의
assumption, 추정
rush, 서두르다
corporation, 법인
sector, 부문
credit, 신용 거래
query, 질문
correlation, 상관관계
version, 버전
proposal, 제안
cancel, 취소
dedicate, 전념하다
vocabulary, 어휘
jargon, 특수 용어
contradict, 모순되다
viewpoint, 견해
entrance, 입구
ample, 충분한
module, 기준 치수
documentation, 선적 서류 비치
fiction, 소설
refectory, 식당
vegetarian, 채식주의자
handout, 핸드 아웃
intelligence, 지능
investigation, 조사
vacation, 휴가
evident, 분명한
archaeology, 고고학
speculate, 추측하다
numerous, 많은
percentage, 백분율
additional, 추가의
discipline, 규율
prospective, 장래의
collaborative, 협력적인
draft, 초안
parameter, 매개변수
evaluation, 평가
dynamic, 동적
clinical, 객관적인
vessel, 선박
stagnant, 흐르지 않는
deadline, 사선
cash, 현금
allergy, 알레르기
occurrence, 발생
finalize, 마무리하다
transmission, 전염
traumatic, 충격적인
aesthetic, 미적인
indicate, 나타내다
inherent, 고유의
tension, 긴장
hardware, 하드웨어
validity, 효력
receipt, 영수증
urbanization, 도시화
phenomenon, 현상
accent, 악센트
convention, 협약
discrete, 이산적인
noticeable, 눈에 띄는
comment, 논평
flourish, 융성
citation, 소환
graduation, 눈금
objection, 반대
controversy, 논쟁
supportive, 지지하는
cafeteria, 카페테리아
accessible, 얻기 쉬운
expertise, 전문적 지식
principal, 주요한
framework, 뼈대
hesitate, 망설이다
electricity, 전기
unclear, 불분명하다
relevant, 관련 있는
up-to-date, 최신
mathematical, 매우 정확한
principle, 원칙
particle, 입자
symmetry, 대칭
sphere, 구체
equation, 방정식
thick, 두꺼운
severe, 극심한
philosophy, 철학
derive, 파생하다
equality, 평등
equal, 동일한
conduct, 지휘하다
impulse, 충동
employment, 고용
complexity, 복잡성
exacerbate, 더욱 심하게 하다
oppose, 대들다
intelligent, 지능적인
interviewer, 면접관
renew, 고쳐 쓰다
imperative, 피할 수 없는
motivation, 동기 부여
destruction, 파괴
decoration, 장식
splash, 튀김
freedom, 자유
visualize, 시각화하다
sculpture, 조각품
dimension, 차원
combination, 콤비네이션
specify, 지정하다
coordinate, 동등 어구
penetrate, 침투하다
radiation, 방사
incredibly, 엄청나게
teamwork, 팀워크
frequently, 자주
negotiation, 협상
Scottish, 스코틀랜드 사람
honour, 명예
restore, 복원하다
input, 입력
diagram, 도표
sensitivity, 감광도
astronomy, 천문학
prospect, 전망
minority, 소수
electronically, 전자적으로
presence, 있음
reinforce, 강화하다
domain, 도메인
typewriter, 타이프라이터
journalist, 기자
obligation, 의무
offspring, 자식
initiative, 계획
dwell, 머무르다
psychological, 심리적
extreme, 극심한
attainment, 달성
attraction, 끌어 당김
geometry, 기하학
keen, 날카로운
representation, 대표
specialist, 전문가
scene, 장면
documentary, 기록한 것
insight, 통찰력
valid, 유효한
inert, 둔한
element, 요소
fluctuate, 변동하다
fantastically, 환상적으로
mechanics, 역학
lock, 잠그다
horn, 뿔
resolve, 해결하다
essence, 본질
civilization, 문명
sustain, 지속시키다
adjustment, 조정
vitamin, 비타민
sunscreen, 자외선 차단제
appreciate, 고마워하다
recommendation, 추천
supplement, 보충
treatment, 치료
commonly, 천하게
overweight, 초과 중량
alcohol, 술
induce, 유도하다
dietary, 식이 요법
prevention, 방지
poll, 투표
eliminate, 제거하다
democratic, 민주적인
enterprise, 기업
lend, 빌려주다
commission, 수수료
exceed, 초과하다
nutrition, 영양물 섭취
intake, 섭취
alcoholic, 알코올 중독자
cognitive, 인지
underneath, 하면
manipulate, 조종하다
rethink, 재고
linguistics, 언어학
linguist, 언어학자
perplex, 당황하다
infinitely, 무한히
diagnostic, 특수 증상
analytical, 분석적
prestige, 명성
stick, 막대
analogy, 유추
stadium, 경기장
foyer, 휴게실
coach, 코치
brilliant, 멋진
championship, 선수권 대회
admire, 존경하다
exemplify, 예시하다
physicist, 물리학자
independence, 독립
tropical, 열렬한
assume, 추정하다
extend, 연장하다
flexibility, 유연성
constitution, 헌법
civil, 예의 바른
protest, 항의
steady, 꾸준한
grain, 곡물
inhabitant, 그들은 거주한다
deliberately, 고의로
spectrum, 스펙트럼
icon, 상
differ, 다르다
church, 교회
shortcoming, 결점
error, 오류
tag, 꼬리표
monument, 기념물
forum, 법정
embrace, 포옹하다
grant, 승인하다
inspire, 고무하다
educate, 기르다
print, 인쇄
concrete, 콘크리트
aggregate, 골재
branch, 나뭇가지
urgent, 긴급한
consciousness, 의식
scenario, 대본
robust, 건장한
sensor, 감지기
feedback, 피드백
heritage, 유산
cathedral, 성당
occupy, 점유하다
hurt, 아프다
drill, 송곳
specifically, 구체적으로
summit, 정상 회담
harness, 마구
illustration, 삽화
encyclopedia, 백과 사전
spin, 회전
descent, 하강
mimic, 모방하다
concentrate, 집중하다
flat, 평평한
owe, 빚지다
horror, 공포
burgeon, 눈
route, 노선
impair, 손상시키다
rescue, 구조하다
cyclone, 집진 장치
hurricane, 허리케인
presume, 추정하다
contaminate, 오염시키다
Cook, 요리하다
oyster, 굴
victim, 피해자
linear, 선의
vertical, 수직의
recession, 경기 후퇴
literacy, 읽고 쓰는 능력
chip, 칩
Calorie, 칼로리
spark, 불꽃
ignite, 불을 붙이다
stir, 젓다
differently, 다르게
shoot, 사격
stable, 안정적인
relax, 안심하다
technician, 기술자
detect, 감지하다
proficiency, 진보
inadequate, 부적당한
bow, 절하다
texture, 조직
confront, 직면하다
imply, 암시하다
remark, 주목
kitchen, 주방
informal, 비공식
integral, 완전한
pervasive, 퍼지는
traditionally, 전통적으로
passive, 수동적인
colloquial, 구어체
momentary, 순간적인
introduction, 소개
auxiliary, 보조자
archaeologist, 고고학자
deficiency, 부족
ephemeral, 일시적인
vanish, 사라지다
skyscraper, 마천루
peak, 정점
masonry, 벽돌공 직
air-condition, 에어컨
