establish, 설립하다
considerable, 많은
conversely, 거꾸로
atmospheric, 대기
revolutionary, 혁명적
conservative, 보수적인
breakthrough, 돌파구
facility, 시설
dimension, 차원
management, 관리
trace, 추적하다
simplify, 단순화하다
infect, 감염시키다
component, 요소
threat, 위협
awkward, 어색한
anticipate, 예상하다
essential, 필수적인
revolution, 혁명
temptation, 유혹
fierce, 사나운
compulsory, 의무적인
strain, 부담
attain, 달성하다
criterion, 표준
synthetic, 인조
productive, 생기게 하는
manufacturer, 제조업체
equipment, 장비
universe, 우주
exclude, 들어오지 못하게 하다
defence, 방어
unbearable, 견딜 수 없는
amongst, 사이에
protein, 단백질
marine, 선박
literature, 문학
psychology, 심리학
propose, 제안하다
electron, 전자
investment, 투자
portrait, 초상화
property, 재산
diverse, 다양한
drug, 의약품
absence, 결석
digital, 디지털
sequence, 순서
organism, 유기체
impression, 인상
commission, 수수료
commercial, 광고
statistical, 통계적
scale, 규모
revision, 개정
reference, 참조
plate, 그릇
stream, 개울
telescope, 망원경
version, 버전
capacity, 용량
combine, 결합하다
astronomy, 천문학
phrase, 구절
framework, 뼈대
agriculture, 농업
operation, 작업
literary, 문호
budget, 예산
leadership, 지도
respect, 존경
enormous, 막대한
politics, 정치
freeze, 꼭 매달리게 하다
philosophy, 철학
committee, 위원회
construction, 건설
helicopter, 헬리콥터
stable, 안정적인
hay, 건초
selection, 선택
ultimately, 궁극적으로
divorce, 이혼
district, 구역
influential, 힘 있는
volcano, 화산
cycle, 주기
organ, 오르간
fundamental, 근본적인
photograph, 사진
military, 군대
acquire, 습득하다
atomic, 원자
invisible, 보이지 않는
document, 문서
gesture, 몸짓
vitamin, 비타민
critic, 비평가
conservation, 보존
corn, 옥수수
mud, 진흙
plot, 구성
marriage, 결혼
govern, 통치하다
extensive, 광범위한
stripe, 줄무늬
poetry, 시
deliver, 배달하다
thread, 실
violent, 폭력적인
judgement, 심판
objective, 목적
modify, 수정하다
territory, 지역
theoretical, 이론적
physician, 내과 의사
rapidly, 급속히
mosquito, 모기
textile, 직물
mechanical, 기계적인
appropriate, 적절한
council, 이사회
organic, 본질적인
principal, 주요한
consciousness, 의식
pole, 폴
previous, 이전의
alter, 바꾸다
code, 암호
distant, 먼
convention, 협약
atmosphere, 대기
faculty, 학부
basin, 분지
manufacture, 제조
crack, 금이 가다
ratio, 비율
prospect, 전망
survival, 활착
psychological, 심리적
barn, 헛간
bulb, 구근
fluid, 체액
mission, 사명
commit, 저지르다
bronze, 청동
deposit, 보증금
monitor, 감시 장치
religious, 종교의
symptom, 징후
lung, 폐
liquid, 액체
constant, 끊임없는
radioactivity, 방사능
era, 연대
numerous, 많은
questionnaire, 설문지
interior, 내부
constitution, 헌법
conference, 회의
aggressive, 공격적인
edition, 판
accommodation, 숙소
embrace, 포옹하다
specialist, 전문가
foundation, 기반
nutrition, 영양물 섭취
abundant, 풍족한
tense, 시제
sink, 싱크대
hurricane, 허리케인
molecule, 분자
court, 법원
oppose, 대들다
entertainment, 오락
nucleus, 핵
atom, 원자
youth, 청년
frontier, 국경 지방
crowd, 군중
visible, 보이는
mathematical, 매우 정확한
roll, 연타
crew, 승무원
circumstance, 상황
steady, 꾸준한
rotten, 썩은
departure, 출발
disagree, 맞지 않다
column, 열
minority, 소수
cubic, 큐빅
personnel, 인원
sketch, 스케치
unfortunate, 불행한 사람
mature, 성숙한
route, 노선
permanent, 영구적인
rotate, 회전하다
elect, 선택된
invasion, 침입
concrete, 콘크리트
flavour, 맛
apparent, 명백한
sensitive, 예민한
undergraduate, 대학 재학생
mathematics, 수학
poison, 독
formal, 공식적인
inhabit, 서식한다
sway, 동요
tongue, 혀
dam, 댐
refine, 다듬다
observer, 관찰자
requirement, 요구 사항
stem, 줄기
recipe, 레시피
straightforward, 똑바로
ignore, 무시하다
orchestra, 오케스트라
reproduce, 낳다
historical, 역사적인
external, 외부
confuse, 혼란시키다
establishment, 설립
clone, 클론
imagination, 상상력
distribution, 분포
feedback, 피드백
steer, 수송아지
tailor, 재단사
dynamic, 동적
isolate, 격리하다
insurance, 보험
elsewhere, 다른 곳에서
radiation, 방사
circuit, 회로
ridge, 산등성이
impressive, 인상적인
description, 설명
grand, 멋진
harvest, 수확하다
portion, 부분
inner, 안의
administration, 관리
gunpowder, 화약
remedy, 치료
eliminate, 제거하다
supplement, 보충
freedom, 자유
excess, 과잉
welfare, 복지
universal, 만능인
comprise, 이루다
celebration, 축하
evident, 분명한
cultivate, 기르다
unite, 맞잡다
stroke, 뇌졸중
wire, 철사
thoughtful, 인정 있는
bid, 매기다
aluminium, 알류미늄
dairy, 낙농
genuine, 진실한
fragile, 부서지기 쉬운
canal, 운하
consequent, 당연한 결과
dig, 파기
republic, 공화국
frequent, 잦은
mere, 호수
recreation, 휴양
exhibit, 전시하다
odour, 냄새
entertain, 즐겁게 하다
thereby, 그것에 의하여
adjust, 조정하다
wheat, 밀
unconscious, 무의식
widespread, 펼친
venture, 투기
prescription, 처방
register, 등록하다
federal, 연방
extraordinary, 기이한
equip, 갖추게 하다
qualification, 자격
ease, 쉬움
trail, 자취
immigrant, 이민
destroy, 파괴하다
corridor, 복도
moderate, 보통의
murder, 살인
fibre, 섬유
persuade, 설득하다
neighbourhood, 이웃
interpretation, 해석
vibration, 진동
interrupt, 방해하다
sweat, 땀
mount, 산
aggression, 침략
thorough, 철저한
riddle, 수수께끼
peasant, 농부
sacrifice, 희생
rid, 제거하다
harsh, 가혹한
rigid, 엄격한
percentage, 백분율
justice, 정당성
applicable, 해당되는
beneath, ~ 아래에
headquarter, 본부
desirable, 바람직한
accomplish, 성취하다
entrance, 입구
oxygen, 산소
deny, 부인하다
blame, 탓하다
cure, 치유법
horizon, 수평선
domestic, 국내의
shuttle, 우주선
hydrogen, 수소
mould, 곰팡이
tempt, 유혹하다
religion, 종교
bureau, 국
preparation, 준비
swallow, 삼키다
imply, 암시하다
chamber, 방
satisfactory, 만족스러운
threaten, 위협하다
bend, 만곡부
unity, 단일성
fortunate, 운이 좋은
mill, 밀
permission, 허가
secondary, 반성
indirect, 간접적인
preliminary, 예비의
destruction, 파괴
precision, 정도
dispute, 논쟁
absolute, 순수한
scatter, 소수
continuous, 마디 없는
erupt, 나다
paragraph, 절
abstract, 추상적인
coincidence, 우연의 일치
feast, 잔치
alcohol, 술
pack, 팩
admission, 가입
helmet, 헬멧
surgeon, 외과 의사
pile, 말뚝
lean, 기대다
automatic, 오토매틱
legend, 전설
cyclist, 자전거 타는 사람
garbage, 쓰레기
insert, 끼워 넣다
prosperous, 번영하는
trial, 재판
subsequent, 후속
identification, 신분증
bay, 만
punishment, 처벌
sticky, 어려운
fortune, 행운
systematic, 체계적인
pursuit, 추구
scent, 향기
fatal, 치명적인
consideration, 고려 사항
vehicle, 차량
mixture, 혼합물
pulse, 맥박
ministry, 내각
comb, 빗
calculation, 계산
utility, 공익사업
density, 밀도
temple, 절
knot, 매듭
magnificent, 웅장한
elastic, 탄력 있는
opponent, 그들은 반대할 것이다
economical, 경제적
alloy, 합금
philosopher, 철학자
sufficient, 충분한
jar, 항아리
contest, 경쟁
yield, 생산하다
nursery, 양식장
harbour, 항구
comment, 논평
perfume, 향수
valid, 유효한
architecture, 건축학
abuse, 남용
layout, 공들여 나열한 것
veil, 베일
width, 너비
resort, 의지
immigration, 이민
purify, 정화하다
profession, 직업
convert, 전환하다
ownership, 소유권
electrical, 전기 같은
temporary, 일시적인
overhead, 간접비
curve, 곡선
photographic, 사진의
horn, 뿔
communism, 공산주의
fulfil, 다하다
tractor, 트랙터
election, 선거
punch, 펀치
oral, 경구
delight, 기쁨
exhibition, 전시회
acceleration, 가속
neglect, 소홀히 하다
bang, 쾅
summary, 요약
worthless, 가치 없는
assistance, 보조
sunrise, 해돋이
stack, 스택
illustrate, 설명하다
privilege, 특권
inhabitant, 그들은 거주한다
inventor, 발명자
spokesman, 대변인
jewel, 보석
locomotive, 기관차
weed, 잡초
acute, 심각한
fate, 운명
flash, 플래시
sword, 검
famine, 기근
republica, 공화국
tight, 단단한
tablet, 태블릿
assign, 양수인
tribe, 부족
restless, 불안한
obstacle, 장애
distinction, 구별
appreciate, 고마워하다
gymnasium, 연무장
distress, 고통
refute, 반박하다
jungle, 밀림
resolve, 해결하다
defend, 지키다
leap, 뛰다
decorate, 장식하다
racial, 인종
span, 기간
timber, 재목
crush, 으깨다
shadow, 그림자
schedule, 일정
speciman, 표본
conductor, 지휘자
vibrate, 떨리다
probability, 개연성
logical, 논리적
surgery, 수술
aviation, 비행
pyramid, 피라미드
sensible, 현명한
microphone, 마이크로폰
compile, 엮다
aside, 곁에
shrink, 수축
wholly, 전적으로
shallow, 얕은
motto, 금언
strait, 좁은
squeeze, 짜내다
appointment, 약속
disposal, 처분
emergency, 비상
nitrogen, 질소
sponsor, 스폰서
tuck, 턱
wage, 값
republican, 공화주의자
flee, 서두르다
discrimination, 차별
intensive, 강한
crust, 빵 껍질
repetition, 되풀이
abnormal, 이상
secretary, 비서
pistol, 권총
knit, 뜨다
accustom, 익숙해지다
spur, 박차
occasion, 기회
precaution, 예방법
beloved, 인기 많은
wax, 밀랍
quake, 지진
flock, 대군
stability, 안정
tension, 긴장
resistance, 저항
superior, 우수한
transparent, 투명한
absurd, 터무니없는
chaos, 혼돈
yawn, 따분한 사람
basement, 최하부
negotiate, 협상하다
boast, 자랑
drain, 물을 빼다
workshop, 작업장
utter, 전적인
restriction, 제한
engineering, 공학
despise, 경멸하다
mutual, 상호간의
incident, 사건
transmission, 전염
incline, 경사
initial, 초기의
pillar, 화살
slope, 경사
pump, 펌프
ultimate, 궁극적인
inefficient, 무능한
descend, 하강하다
headmaster, 교장
owe, 빚지다
rod, 막대
succession, 계승
precious, 귀중한
starve, 굶어 죽다
porter, 문지기
faint, 희미한
compress, 압박 붕대
resist, 저항하다
prosperity, 번영
waggon, 수레
outlet, 콘센트
voluntary, 자발적인
rib, 늑골
undo, 끄르다
condense, 응축하다
damp, 습기
pleasant, 즐거운
compute, 계산하다
zone, 존
corporation, 법인
stitch, 땀
navigation, 항해
dawn, 새벽
glance, 섬광
