researcher, 연구원
bloom, 꽃
visible, 보이는
portrait, 초상화
collaboration, 협동
celebration, 축하
rebuild, 재건하다
grin, 이를 드러내고 웃다
eradicate, 근절하다
matchstick, 성냥개비
collector, 수집기
depth, 깊이
champagne, 샴페인
utter, 전적인
overseas, 해외
submerge, 잠수하다
scotch, 스카치
stimulate, 자극하다
auroral, 오로라의
spatial, 공간적
slam, 쾅
application, 애플리케이션
breadth, 폭
complexity, 복잡성
auditory, 귀의
macromolecular, 고분자
commercial, 광고
inject, 주입하다
merge, 병합
mite, 매우 조그만 것
engagement, 약혼
proposal, 제안
minimal, 최소한의
visualise, 시각화하다
fort, 요새
overturn, 전복
disturb, 방해하다
compliance, 규정 준수
unravel, 풀다
capture, 포착
celebrate, 축하하다
exert, 발휘하다
association, 협회
fastener, 잠그는 물건
surround, 서라운드
manufacture, 제조
transform, 변환
expectation, 기대
recovery, 회복
pulse, 맥박
epidemic, 감염병 유행
stale, 탁한
slump, 슬럼프
consultant, 컨설턴트
publish, 출판하다
defensible, 방어할 수 있는
concentrate, 집중하다
external, 외부
canyon, 깊은 협곡
equation, 방정식
upwards, 위로 향하여
legitimate, 정당한
neighbour, 이웃
associate, 연관짓다
mammal, 포유 동물
predicament, 상태
glean, 줍다
tremendous, 엄청난
database, 데이터 베이스
biological, 생물학적
enlarge, 크게 하다
contain, 포함하다
species, 종
interpret, 해석하다
historian, 역사가
identical, 동일한
exceptional, 특별한
resident, 거주자
manipulation, 시장 조작
liquid, 액체
brood, 종족
element, 요소
detector, 탐지기
dominate, 빼어나게 솟다
channel, 채널
consonant, 자음
interface, 인터페이스
consume, 소비하다
profession, 직업
atomic, 원자
antiquarian, 골동품 수집가
panel, 패널
sensitive, 예민한
recession, 경기 후퇴
confidence, 신뢰
rough, 거친
congress, 대회
consensus, 의견 일치
evidence, 증거
legislation, 법률 제정
offset, 오프셋
rebound, 리바운드
extreme, 극심한
advocate, 지지하다
conventional, 전통적인
audience, 청중
pollinator, 수분 매개자
odd, 이상한
dolphin, 돌고래
accessible, 얻기 쉬운
centrifuge, 원심분리기
landowner, 지주
emission, 방사
advertise, 공시 하다
employment, 고용
vision, 비전
mandate, 위임
distinctive, 독특한
downside, 단점
delight, 기쁨
specific, 특정한
binary, 바이너리
interpretation, 해석
trade-off, 절충안
artificial, 인공의
outgo, 경비
depiction, 묘사
bargain, 매매
script, 스크립트
fracture, 골절
observer, 관찰자
spike, 스파이크
mimic, 모방하다
loose, 헐렁한
realist, 현실주의자
amend, 개정하다
constant, 끊임없는
negative, 부정적인
sediment, 침전물
unimaginative, 상상력이 없는
unmix, 섞이지 않다
sponsor, 스폰서
forge, 노
pend, 보류하다
historic, 역사적인
galaxy, 은하
gasoline, 가솔린
originate, 유래하다
exploration, 탐구
majority, 다수
addition, 덧셈
wingless, 날지 못하는
objective, 목적
tariff, 관세
broadcast, 방송
simulate, 시뮬레이션
phrenetic, 정신이 나간
dissatisfaction, 불만
prescribe, 처방하다
genome, 게놈
undefined, 한정되지 않은
monetary, 통화의
automaker, 자동차 제조 업체
alternative, 대안
innovator, 혁신가
quantity, 수량
electrical, 전기 같은
pun, 말장난
settlement, 합의
relevant, 관련 있는
extensive, 광범위한
curator, 관리자
unpublished, 널리 알려지지 않은
atmosphere, 대기
assistance, 보조
unusable, 쓸 수 없는
represent, 대표하다
barrier, 장벽
generator, 발전기
violence, 폭행
consumer, 소비자
irrelevant, 관련 없는
scatter, 소수
sunflower, 해바라기
sparkiness, 반짝임
nanometre, 나노미터
combination, 콤비네이션
toolkit, 툴킷
hydrogen, 수소
crustacean, 갑각류
depict, 묘사하다
ore, 광석
flush, 플러시
massive, 엄청난
observe, 관찰하다
coordinate, 동등 어구
maternal, 모성
combo, 콤보
counterintuitive, 직관에 반하는
vessel, 선박
humanity, 인류
biofuel, 바이오 연료
formalistic, 형식주의적인
sexton, 섹스톤
disappear, 사라지다
potential, 잠재적인
boredom, 지루함
merger, 합병
bulk, 대부분
stabilise, 안정시키다
classical, 고전
restoration, 복구
deliver, 배달하다
sketch, 스케치
brainwave, 뇌파
pseudo, 의사
collaborative, 협력적인
accommodate, 수용하다
interpreter, 통역사
automobile, 자동차
algorithm, 연산
nonpartisan, 초당파적이지 않은
sustainable, 지속 가능한
disrupt, 방해하다
rationality, 합리성
iceberg, 빙산
accurate, 정확한
responsive, 반응하는
conversational, 이야기 잘하는
pollution, 오염
microphone, 마이크로폰
migrant, 이주자
cardiologist, 심장 전문의
reposition, 정복
sober, 냉철한
unpopulated, 채워지지 않은
vibration, 진동
investment, 투자
croft, 소작지
pursuit, 추구
deform, 추하게 하다
inflection, 굴절
solution, 해결책
shockwave, 충격파
worksheet, 워크시트
common, 흔한
bureau, 국
confection, 당제
smartphone, 스마트폰
frustrate, 좌절시키다
parliament, 의회
interstellar, 성간
wilderness, 황야
multifaceted, 다면적인
management, 관리
preliminary, 예비의
political, 정치적인
bias, 편견
aircraft, 항공기
replace, 바꾸다
justice, 정당성
dimension, 차원
confess, 불다
hemisphere, 반구
explore, 탐구하다
dioxide, 이산화물
habitat, 서식지
adverse, 불리한
radiant, 광점
holistic, 총체적인
aggressive, 공격적인
investigation, 조사
drainage, 배수
treatable, 치료 가능
incredible, 믿을 수 없는
convene, 소집하다
optimise, 최적화하다
bounty, 하사품
compatible, 호환 가능
electron, 전자
